estado,estacion,antena,latitud,longitud,altitud,fecha,dir_rafaga,dir_viento,vel_rafaga,vel_viento,temperatura,humedad,presion_barometrica,precipitacion,radiacion_solar,rh
DG,AGUSTIN MELGAR,    SMN EMAS,0.756657222676624,0.254366011779125,0.296206911714466,31/12/2018,0.638888117288237,0.651809739221509,0.7916560994166879,0.20824949698189105,0.233743565469499,0.108443170044095,0.966103475174762,0.5,0.46644556802201503,Nazas Aguanaval
CH,BASASEACHI,    SMN EMAS,0.965472140229453,6.13850513758781e-05,0.476685200925247,20/12/2018,0.0888911728268176,0.147634275017966,0.41304662874533504,0.100681009131713,0.0207384178450979,0.433736536469001,0.955000654619125,0.5,0.396218669569469,Sonora Sur
CH,BASASEACHI,    SMN EMAS,0.965472140229453,6.13850513758781e-05,0.476685200925247,24/12/2018,0.649999166671296,0.64066774001259,0.373193000253614,0.13395759170407098,0.0089047985326312,0.409640731548637,0.955000654619125,0.5,0.383764909917805,Sonora Sur
CS,TONALA,    OCFS,0.13548766946826,0.9064171250652352,0.0159461145464535,23/12/2018,0.7055544135865909,0.568244745154623,0.3442085431687261,0.0681783005726668,0.5562096917342171,0.650598780752271,1.67970053791793e-07,0.5,0.314577356297451,Grijalva-Usumacinta
CS,TONALA,    OCFS,0.13548766946826,0.9064171250652352,0.0159461145464535,29/12/2018,0.7388875617357679,0.415042256032,0.37681605738922497,0.0968116390651602,0.6420034317496011,0.6024071709115439,1.67970053791793e-07,0.5,0.314116105939982,Grijalva-Usumacinta
CS,TONALA,    OCFS,0.13548766946826,0.9064171250652352,0.0159461145464535,30/12/2018,0.6833323148204731,0.612812741990295,0.371381471685809,0.0650828045194242,0.656795455890184,0.6746945856726341,1.67970053791793e-07,0.5,0.31088735343769897,Grijalva-Usumacinta
CS,TONALA,    OCFS,0.13548766946826,0.9064171250652352,0.0159461145464535,31/12/2018,0.6722212654374139,0.487465250889967,0.39130828593166905,0.0689521745859774,0.615377788296551,0.7108382930531791,1.67970053791793e-07,0.5,0.327031115949115,Grijalva-Usumacinta
AG,CALVILLO,    SMN EMAS,0.513839989568121,0.337474550780807,0.3909157328264161,24/12/2018,0.44444475308470505,0.515320248912262,0.402177457338502,0.30962699272558397,0.295870066859949,0.0361557552830052,0.9999998320299458,0.5,0.2804448298447429,Lerma Santiago
AG,CALVILLO,    SMN EMAS,0.513839989568121,0.337474550780807,0.3909157328264161,26/12/2018,0.0138915894911695,0.905290221224394,0.6938335567551899,0.19896300882216397,0.334329329625466,0.4819281463097271,0.9998486589815341,0.5,0.35332238632484897,Lerma Santiago
AG,CALVILLO,    SMN EMAS,0.513839989568121,0.337474550780807,0.3909157328264161,27/12/2018,0.005558302453875261,0.8523657249820329,0.556157385601971,0.164138678223185,0.263327613750666,0.506023951230091,0.9991935757717461,0.5,0.219559782658832,Lerma Santiago
DF,C BIOLOG IPN,    SMN EMAS,0.343433265763363,0.554845838264048,0.501328822745193,20/12/2018,0.9277754012477708,0.8356527261686559,0.438408028694613,0.18658102460919399,0.266286018578782,0.373497024168092,0.950633433220538,0.5,0.499538749642531,Panuco
DF,C BIOLOG IPN,    SMN EMAS,0.343433265763363,0.554845838264048,0.501328822745193,23/12/2018,0.9722195987800072,0.832867226366427,0.32247020035505997,0.0952638910385389,0.2603692089225489,0.22892219464591199,0.951036561349639,0.5,0.413284932795823,Panuco
DF,C BIOLOG IPN,    SMN EMAS,0.343433265763363,0.554845838264048,0.501328822745193,24/12/2018,0.797220570996828,0.8690787237954108,0.469204014347306,0.17884228447608702,0.245577184781966,0.33735331678754704,0.951103749371155,0.5,0.364853645261575,Panuco
DF,C BIOLOG IPN,    SMN EMAS,0.343433265763363,0.554845838264048,0.501328822745193,25/12/2018,0.941664212976595,0.7966557289374431,0.355077714575559,0.0472837022132797,0.284036447547482,0.3614491217079111,0.9508014032743299,0.5,0.245851053034566,Panuco
DF,C BIOLOG IPN,    SMN EMAS,0.343433265763363,0.554845838264048,0.501328822745193,28/12/2018,0.29166782406764397,0.37604525880078704,0.40580051447411297,0.102228757158335,0.313620495828649,0.469880243849546,0.950499057177505,0.5,0.16743849226483098,Panuco
DF,C BIOLOG IPN,    SMN EMAS,0.343433265763363,0.554845838264048,0.501328822745193,29/12/2018,0.327778734562586,0.364903259591869,0.260878229049672,0.0155548676675437,0.334329329625466,0.433736536469001,0.950700621242055,0.5,0.388838663849964,Panuco
DF,CCA,    SMN ESIME,0.333337284793627,0.5533282633828249,2.4160413548966605e-07,21/12/2018,0.46538093149126397,0.42984413609718897,0.598189545102835,0.49018464144968504,0.142033015797882,0.28916170694682103,0.9502471020968172,0.5,0.43819245209915003,Panuco
DF,CCA,    SMN ESIME,0.333337284793627,0.5533282633828249,2.4160413548966605e-07,25/12/2018,0.46538093149126397,0.42984413609718897,0.598189545102835,0.49018464144968504,0.192325897875865,0.457832341389364,0.950146320064542,0.5,0.20341602014741605,Panuco
DF,CCA,    SMN ESIME,0.333337284793627,0.5533282633828249,2.4160413548966605e-07,27/12/2018,0.46538093149126397,0.42984413609718897,0.598189545102835,0.49018464144968504,0.230785160641382,0.542167658610636,0.9496424099031672,0.5,0.261072314831044,Panuco
DF,CCA,    SMN ESIME,0.333337284793627,0.5533282633828249,2.4160413548966605e-07,29/12/2018,0.46538093149126397,0.42984413609718897,0.598189545102835,0.49018464144968504,0.23966037512573202,0.530119756150454,0.9500455380322672,0.5,0.40129242350162797,Panuco
