CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_mg/L,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
DLAGU6,POZO SAN GIL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,-102.022100,22.208870,2020,229.99,Alta,940,Permisible para riego,,603.6,Cultivos sensibles,Potable - Dulce,0.9766,Potable - Optima,213.732,Potable - Dura,<1.1,Potable - Excelente,4.184656,Potable - Excelente,0.0161,Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,0.0891,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU6516,POZO R013 CAÑADA HONDA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE CHICALOTE,POZO,-102.200750,21.999580,2020,231.99,Alta,608,Buena para riego,,445.4,Excelente para riego,Potable - Dulce,0.9298,Potable - Optima,185.0514,Potable - Dura,<1.1,Potable - Excelente,5.75011,Potable - Buena calidad,0.0134,Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU7,POZO COSIO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,VALLE DE AGUASCALIENTES,POZO,-102.288010,22.366850,2020,204.92,Alta,532,Buena para riego,,342,Excelente para riego,Potable - Dulce,1.8045,Alta,120.719,Potable - Dura,<1.1,Potable - Excelente,1.449803,Potable - Excelente,0.037,No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLAGU9,POZO EL SALITRILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,VALLE DE AGUASCALIENTES,POZO,-102.294490,22.184350,2020,327,Alta,686,Buena para riego,,478.6,Excelente para riego,Potable - Dulce,1.1229,Potable - Optima,199.879,Potable - Dura,<1.1,Potable - Excelente,1.258597,Potable - Excelente,0.0154,Apta como FAAP,<0.003,Potable - Excelente,0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ107,RANCHO EL TECOLOTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.244800,23.451380,2020,309.885,Alta,1841,Permisible para riego,,1179,Cultivos con manejo especial,Ligeramente salobres,0.2343,Baja,476.9872,Potable - Dura,291,Aceptable,15.672251,No apta como FAAP,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"NO3,",SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
DLBAJ108,POZO A.P. CNA 7 (ANTES POZO A.P. CNA 6),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.220670,23.464930,2020,224.475,Alta,570.3,Buena para riego,,554.8,Cultivos sensibles,Potable - Dulce,0.2756,Baja,201.8784,Potable - Dura,6131,Contaminada,8.55574,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"CF,",SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ110,"POZO 26, SAN JUAN",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.213960,23.474600,2020,203.67,Alta,531,Buena para riego,,278.8,Excelente para riego,Potable - Dulce,0.289,Baja,166.2528,Potable - Dura,110,Buena calidad,4.68647,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ111,VICTOR HUGO CESEÑA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,CABO SAN LUCAS,POZO,-109.907306,22.890500,2020,350.76,Alta,2253.3,Dudosa para riego,,1160.2,Cultivos con manejo especial,Ligeramente salobres,0.5607,Media,269.1712,Potable - Dura,798,Aceptable,27.600998,No apta como FAAP,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0041,Potable - Excelente,0.0692,Potable - Excelente,Rojo,"CONDUC,NO3,",SI,NO,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
DLBAJ117,LAS PARRITAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.088778,23.799861,2020,343.655,Alta,1114,Permisible para riego,,672,Cultivos sensibles,Potable - Dulce,0.3421,Baja,403.8482,Potable - Dura,146,Buena calidad,1.877325,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0113,Potable - Excelente,0.1615,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ118,SAN ANTONIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-110.054722,23.824722,2020,332.605,Alta,1703,Permisible para riego,,1017.8,Cultivos con manejo especial,Ligeramente salobres,0.5088,Media,559.0214,Muy dura e indeseable usos industrial y domestico,3873,Contaminada,0.143061,Potable - Excelente,0.3558,No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,1.167,Puede afectar la salud,14.06,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CF,AS,MN,FE,",SI,SI,SI,SI,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,NO
DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.907091,23.946320,2020,136.53,Media,1329,Permisible para riego,,671.2,Cultivos sensibles,Potable - Dulce,0.4925,Media,222.8128,Potable - Dura,355,Aceptable,5.625327,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.0053,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ122,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.108253,23.807347,2020,247.52,Alta,1668,Permisible para riego,,931.2,Cultivos sensibles,Potable - Dulce,0.6351,Media,198.94,Potable - Dura,<1.1,Potable - Excelente,0.165785,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0808,Potable - Excelente,0.1992,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ125,JUAN DOMINGUEZ COTA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.958920,23.973740,2020,103.23,Media,5167,Indeseable para riego,,3311,Cultivos tolerantes,Salobres,0.2636,Baja,744.0356,Muy dura e indeseable usos industrial y domestico,10,Buena calidad,0.853692,Potable - Excelente,0.02575,No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,0.00051,Potable - Excelente,<0.005,Potable - Excelente,0.0023,Potable - Excelente,0.081,Potable - Excelente,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,AS,",SI,NO,NO,NO,SI,NO,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ127,TIRO SANTA CRUZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-110.061100,23.805540,2020,240.89,Alta,1369,Permisible para riego,,811.6,Cultivos sensibles,Potable - Dulce,0.4125,Media,415.7846,Potable - Dura,857,Aceptable,0.211852,Potable - Excelente,0.1128,No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0027,Potable - Excelente,0.0321,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ128,EL ROSARIO II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.111850,23.742210,2020,380.12,Alta,1536,Permisible para riego,,999.8,Cultivos sensibles,Potable - Dulce,0.3513,Baja,527.7972,Muy dura e indeseable usos industrial y domestico,4106,Contaminada,0.877601,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,0.0399,No apta como FAAP,0.0745,Potable - Excelente,1.326,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CF,PB,FE,",SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO
DLBAJ129,"SP. A.P. 1, L. 9, COL. SIN.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.720090,25.135490,2020,204.765,Alta,928,Permisible para riego,,512.6667,Cultivos sensibles,Potable - Dulce,0.4116,Media,187.248,Potable - Dura,<1.1,Potable - Excelente,9.224505,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ130,L. 16-17 COL. LAGUNA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.803800,25.240100,2020,244.185,Alta,1593,Permisible para riego,,789.3333,Cultivos sensibles,Potable - Dulce,0.6076,Media,199.2,Potable - Dura,<1.1,Potable - Excelente,3.146125,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.0104,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ131,"L. 20, EJ. STO. DOMINGO",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.922210,25.504700,2020,251.97,Alta,12830,Indeseable para riego,,9503.6667,Indeseable para riego,Salobres,0.4142,Media,3426.24,Muy dura e indeseable usos industrial y domestico,<1.1,Potable - Excelente,9.579012,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0078,Potable - Excelente,0.1215,Potable - Excelente,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ136,EL SARGENTO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.964667,23.969660,2020,130.98,Media,,,,277.8,Excelente para riego,Potable - Dulce,0.5234,Media,57.6926,Potable - Suave,265,Aceptable,0.742984,Potable - Excelente,0.1244,No apta como FAAP,<0.003,Potable - Excelente,0.0071,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,ND,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ148,"RANCHO AGUA DULCE, GVO. GLEZ.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.485700,26.227900,2020,249.66,Alta,1153,Permisible para riego,,678,Cultivos sensibles,Potable - Dulce,0.2563,Baja,241.4624,Potable - Dura,10,Buena calidad,8.444545,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0051,Potable - Excelente,0.0564,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ149,POZO NO. 14,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.507550,26.244660,2020,221.19,Alta,3100,Indeseable para riego,,1471.2,Cultivos con manejo especial,Ligeramente salobres,0.8969,Potable - Optima,352.2976,Potable - Dura,521,Aceptable,5.677573,Potable - Buena calidad,0.0485,No apta como FAAP,<0.003,Potable - Excelente,0.0067,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.022,Potable - Excelente,0.7512,Sin efectos en la salud - Puede dar color al agua,Rojo,"CONDUC,AS,FE,",SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,NO
DLBAJ150,POZO 2A,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.548940,26.301760,2020,205.86,Alta,2363,Dudosa para riego,,1158,Cultivos con manejo especial,Ligeramente salobres,0.3557,Baja,362.1936,Potable - Dura,<1.1,Potable - Excelente,6.520263,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0025,Potable - Excelente,0.0484,Potable - Excelente,Amarillo,"CONDUC,",SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ157,MULEGE 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,POZO,-112.001460,26.886790,2020,189.435,Alta,1584,Permisible para riego,,890.6,Cultivos sensibles,Potable - Dulce,0.3542,Baja,287.2224,Potable - Dura,<1.1,Potable - Excelente,8.844383,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0021,Potable - Excelente,0.0373,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ158,MULEGE 3,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,POZO,-112.053190,26.856610,2020,208.05,Alta,1376,Permisible para riego,,720.8,Cultivos sensibles,Potable - Dulce,0.2572,Baja,313.1522,Potable - Dura,3654,Contaminada,7.535822,Potable - Buena calidad,0.0156,Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,0.00149,Potable - Excelente,<0.005,Potable - Excelente,0.0279,Potable - Excelente,1.47,Sin efectos en la salud - Puede dar color al agua,Rojo,"CF,FE,",SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO
DLBAJ161,CNA-SI-03 (EJ. ALFREDO V. BONFIL),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SAN IGNACIO,POZO,-112.762754,27.335900,2020,378,Alta,642,Buena para riego,,748,Cultivos sensibles,Potable - Dulce,0.3102,Baja,341.7525,Potable - Dura,240,Aceptable,4.060667,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0169,Potable - Excelente,0.3243,Sin efectos en la salud - Puede dar color al agua,Amarillo,"FE,",SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO
DLBAJ182,BENITO JUAREZ 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.793700,27.919300,2020,103.13,Media,950,Permisible para riego,,608.67,Cultivos sensibles,Potable - Dulce,0.3062,Baja,241.5623,Potable - Dura,43,Buena calidad,3.863066,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.006,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0044,Potable - Excelente,0.0703,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ183,LAGUNEROS 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.678670,27.821750,2020,140,Media,446,Buena para riego,,540,Cultivos sensibles,Potable - Dulce,0.3823,Baja,266.0324,Potable - Dura,<1.1,Potable - Excelente,1.313023,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.0335,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0019,Potable - Excelente,0.0436,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ184,DIAZ ORDAZ 2. 2A. ETAPA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.454500,27.733500,2020,150,Media,412,Buena para riego,,552,Cultivos sensibles,Potable - Dulce,0.7995,Potable - Optima,68.1075,Potable - Moderadamente suave,<1.1,Potable - Excelente,3.383635,Potable - Excelente,0.0109,Apta como FAAP,<0.003,Potable - Excelente,0.042,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ185,POZO Z.A #13 G. DIAZ ORDAZ (ANTES RANCHO EL PILOTO 2),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.447720,27.629430,2020,135,Media,1436,Permisible para riego,,1812,Cultivos con manejo especial,Ligeramente salobres,0.2943,Baja,797.9758,Muy dura e indeseable usos industrial y domestico,93,Buena calidad,13.83286,No apta como FAAP,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.011,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"DT,NO3,",SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI
DLBAJ186,E. ZAPATA 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.382600,27.546900,2020,187,Alta,1192,Permisible para riego,,1712,Cultivos con manejo especial,Ligeramente salobres,0.272,Baja,625.8848,Muy dura e indeseable usos industrial y domestico,9,Buena calidad,10.400343,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.0595,No apta como FAAP,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0377,Potable - Excelente,1.244,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CR,FE,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,NO,SI,SI,SI,NO
DLBAJ187,CARACOL 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.341420,27.528100,2020,161,Alta,443,Buena para riego,,496,Excelente para riego,Potable - Dulce,0.3593,Baja,236.6757,Potable - Dura,4,Buena calidad,5.489275,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.0312,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ188,EL SILENCIO 2 (CNA-VIZ-51),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.298200,27.470300,2020,172,Alta,802,Permisible para riego,,988,Cultivos sensibles,Potable - Dulce,0.3116,Baja,437.1921,Potable - Dura,<1.1,Potable - Excelente,19.438806,No apta como FAAP,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.0128,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"NO3,",SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
DLBAJ189,GMO. PRIETO 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.266600,27.833200,2020,154,Alta,506,Buena para riego,,444,Excelente para riego,Potable - Dulce,0.7633,Potable - Optima,84.8712,Potable - Moderadamente suave,<1.1,Potable - Excelente,3.959387,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.041,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ202,HIELERA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,CABO SAN LUCAS,POZO,-109.897306,22.902244,2020,111.605,Media,951,Permisible para riego,,500.8,Cultivos sensibles,Potable - Dulce,0.2671,Baja,166.4544,Potable - Dura,1019,Contaminada,13.644042,No apta como FAAP,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0094,Potable - Excelente,0.4138,Sin efectos en la salud - Puede dar color al agua,Rojo,"CF,FE,NO3,",SI,SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,NO
DLBAJ54,POZO NO.VII R(ANTES A.P. VII),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.294740,24.138710,2020,115.44,Media,736,Buena para riego,,405.4,Excelente para riego,Potable - Dulce,0.2072,Baja,153.1838,Potable - Dura,<1.1,Potable - Excelente,8.085917,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ68,POZO NO. 197-A,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.352540,24.099000,2020,178.71,Alta,1011,Permisible para riego,,556.6,Cultivos sensibles,Potable - Dulce,<0.2,Baja,213.144,Potable - Dura,<1.1,Potable - Excelente,2.136936,Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ69,POZO NO. 145,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.333590,24.081220,2020,162.06,Alta,4960,Indeseable para riego,,3299,Cultivos tolerantes,Salobres,<0.2,Baja,1541.785,Muy dura e indeseable usos industrial y domestico,4352,Contaminada,6.361578,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.0288,Potable - Excelente,1.419,Sin efectos en la salud - Puede dar color al agua,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,CF,FE,",SI,NO,NO,NO,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO
DLBAJ70,POZO NO. XII (ANTES A.P. XII),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.307730,24.080080,2020,208.68,Alta,2860,Dudosa para riego,,27215.8,Indeseable para riego,Salinas,0.3848,Baja,672.4172,Muy dura e indeseable usos industrial y domestico,63,Buena calidad,5.869769,Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,0.0071,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,0.008,Potable - Excelente,0.4969,Sin efectos en la salud - Puede dar color al agua,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,FE,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,NO
