cleanning, 0.032291412353515625, 0.007953882217407227, 0 
imputation, 0.031368255615234375, 0.05504727363586426, 0 
split, 0.03132343292236328, 0.013704061508178711, 0 
regression, 0.03095078468322754, 0.021370649337768555, 0 
regression, 0.0015723705291748047, 0.0023620128631591797, 0 
cleanning, 0.0046844482421875, 0.005041360855102539, 0 
imputation, 0.0025177001953125, 0.008774518966674805, 0 
split, 0.00600743293762207, 0.0025718212127685547, 0 
regression, 0.0029180049896240234, 0.0024094581604003906, 0 
regression, 0.0013480186462402344, 0.0028100013732910156, 0 
