Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
31027,11/03/19,20.33,-89.64,31027,-99,-99,Yucatan Norte,Lomer?o,36.15704,22.80371,-99,-99,29.17596,,,,,,0
31027,12/03/19,20.33,-89.64,31027,-99,-99,Yucatan Norte,Lomer?o,35.83673,23.44382,-99,-99,29.31277,,,,,,0
31027,13/03/19,20.33,-89.64,31027,-99,-99,Yucatan Norte,Lomer?o,36.47107,23.02258,-99,-99,29.20212,,,,,,0
31027,14/03/19,20.33,-89.64,31027,-99,-99,Yucatan Norte,Lomer?o,37.43301,23.70166,-99,-99,29.76282,,,,,,0
31029,08/03/19,21.17,-90.03,31029,-99,-99,NaN,NaN,31.25793,22.54471,-99,-99,26.35281,,,,,,0
31029,09/03/19,21.17,-90.03,31029,-99,-99,NaN,NaN,33.09052,22.90488,-99,-99,27.24289,,,,,,0
31029,10/03/19,21.17,-90.03,31029,-99,-99,NaN,NaN,32.96954,24.04147,-99,-99,28.4292,,,,,,0
31029,11/03/19,21.17,-90.03,31029,-99,-99,NaN,NaN,32.29507,24.24667,-99,-99,28.33774,,,,,,0
31029,12/03/19,21.17,-90.03,31029,-99,-99,NaN,NaN,31.96408,24.5141,-99,-99,27.92172,,,,,,0
31029,13/03/19,21.17,-90.03,31029,-99,-99,NaN,NaN,33.45535,23.89337,-99,-99,28.2948,,,,,,0
31029,14/03/19,21.17,-90.03,31029,-99,-99,NaN,NaN,33.91776,24.26938,-99,-99,28.77203,,,,,,0
31030,08/03/19,20.6,-89.01,31030,-99,-99,Yucatan Norte,Llanura,34.82919,19.24789,-99,-99,26.44122,,,,,,0
31030,09/03/19,20.6,-89.01,31030,-99,-99,Yucatan Norte,Llanura,35.65744,19.79172,-99,-99,27.19235,,,,,,0
31030,10/03/19,20.6,-89.01,31030,-99,-99,Yucatan Norte,Llanura,35.60526,22.616,-99,-99,28.44366,,,,,,0
31030,11/03/19,20.6,-89.01,31030,-99,-99,Yucatan Norte,Llanura,35.73697,21.82565,-99,-99,28.33459,,,,,,0
31030,12/03/19,20.6,-89.01,31030,-99,-99,Yucatan Norte,Llanura,35.45288,22.23282,-99,-99,28.41089,,,,,,0
31030,13/03/19,20.6,-89.01,31030,-99,-99,Yucatan Norte,Llanura,35.55725,21.98569,-99,-99,28.2623,,,,,,0
31030,14/03/19,20.6,-89.01,31030,-99,-99,Yucatan Norte,Llanura,36.44043,22.80786,-99,-99,28.6987,,,,,,0
31031,08/03/19,21.34,-89.27,31031,-99,-99,Yucatan Norte,Playa o Barra,30.1322,22.32928,-99,-99,25.67007,,,,,,0
31031,09/03/19,21.34,-89.27,31031,-99,-99,Yucatan Norte,Playa o Barra,31.75687,22.48309,-99,-99,26.48312,,,,,,0
31031,10/03/19,21.34,-89.27,31031,-99,-99,Yucatan Norte,Playa o Barra,31.8028,23.72809,-99,-99,27.75851,,,,,,0
31031,11/03/19,21.34,-89.27,31031,-99,-99,Yucatan Norte,Playa o Barra,31.30411,23.8988,-99,-99,27.65619,,,,,,0
